Iteration, Small_Alive, Small_Dead, Medium_Alive, Medium_Dead, Large_Alive, Large_Dead, Mean_Diameter_Alive, Mean_Diameter_Dead
1, 176, 1, 232, 3, 2566, 21, 1.067263, 0.9231888
51, 174, 3, 232, 3, 2566, 21, 15.73672, 6.59852
101, 174, 3, 232, 3, 2565, 22, 1.06721, 0.9359224
151, 174, 3, 231, 4, 2559, 28, 11.82861, 6.394193
201, 174, 3, 231, 4, 2555, 32, 1.068245, 0.8943092
251, 174, 3, 231, 4, 2549, 38, 1.068813, 0.8836738
301, 174, 3, 229, 6, 2547, 40, 1.068762, 0.896173
351, 173, 4, 229, 6, 2542, 45, 1.069241, 0.8883203
401, 173, 4, 227, 8, 2540, 47, 1.069116, 0.9027466
451, 173, 4, 225, 10, 2537, 50, 1.069119, 0.912598
501, 173, 4, 224, 11, 2534, 53, 1.069079, 0.9233919
551, 173, 4, 223, 12, 2527, 60, 1.069803, 0.909875
601, 173, 4, 222, 13, 2523, 64, 12.15808, 4.530138
651, 173, 4, 222, 13, 2520, 67, 1.070193, 0.911909
701, 173, 4, 222, 13, 2514, 73, 1.070857, 0.902056
751, 172, 5, 222, 13, 2511, 76, 1.07078, 0.9112635
801, 171, 6, 222, 13, 2506, 81, 1.071443, 0.9006017
851, 171, 6, 221, 14, 2502, 85, 1.071687, 0.901464
901, 171, 6, 220, 15, 2500, 87, 1.071458, 0.9119547
951, 171, 6, 220, 15, 2492, 95, 1.072087, 0.9088777
1001, 171, 6, 220, 15, 2488, 99, 1.07238, 0.9081049
1051, 171, 6, 219, 16, 2480, 107, 1.073104, 0.903614
1101, 170, 7, 217, 18, 2474, 113, 1.073289, 0.9085745
1151, 170, 7, 217, 18, 2473, 114, 1.073393, 0.9077545
1201, 169, 8, 217, 18, 2468, 119, 1.073933, 0.9035044
1251, 166, 11, 217, 18, 2459, 128, 15.91321, 10.58105
1301, 166, 11, 217, 18, 2453, 134, 1.07459, 0.9105676
1351, 165, 12, 216, 19, 2445, 142, 1.074996, 0.9128184
1401, 164, 13, 215, 20, 2436, 151, 1.075552, 0.9135113
1451, 163, 14, 214, 21, 2430, 157, 1.075694, 0.9175085
1501, 163, 14, 212, 23, 2420, 167, 1.076293, 0.9182947
1551, 160, 17, 210, 25, 2413, 174, 16.23116, 9.470547
1601, 159, 18, 209, 26, 2403, 184, 1.076953, 0.9242715
1651, 159, 18, 207, 28, 2396, 191, 1.077411, 0.9241303
1701, 158, 19, 206, 29, 2387, 200, 1.078358, 0.9197252
1751, 158, 19, 205, 30, 2377, 210, 1.079296, 0.9166628
1801, 157, 20, 205, 30, 2369, 218, 1.079876, 0.9163228
1851, 154, 23, 203, 32, 2358, 229, 1.08078, 0.9148667
1901, 154, 23, 201, 34, 2344, 243, 1.081865, 0.9139587
1951, 152, 25, 199, 36, 2333, 254, 1.082857, 0.9121196
2001, 149, 28, 197, 38, 2323, 264, 16.87818, 8.683421
2051, 147, 30, 196, 39, 2313, 274, 17.04268, 8.423689
2101, 147, 30, 196, 39, 2298, 289, 1.084798, 0.9173673
2151, 147, 30, 196, 39, 2285, 302, 1.086778, 0.9095941
2201, 147, 30, 196, 39, 2276, 311, 1.087626, 0.9085116
2251, 146, 31, 194, 41, 2268, 319, 16.90515, 9.349432
2301, 145, 32, 192, 43, 2260, 327, 16.96382, 9.319702
2351, 145, 32, 191, 44, 2249, 338, 1.089309, 0.911623
2401, 144, 33, 188, 47, 2238, 349, 1.090306, 0.9108309
2451, 142, 35, 188, 47, 2228, 359, 1.091531, 0.9082274
2501, 142, 35, 186, 49, 2220, 367, 1.092166, 0.9083835
2551, 142, 35, 185, 50, 2207, 380, 1.093402, 0.9074881
2601, 142, 35, 182, 53, 2196, 391, 1.094311, 0.9076161
2651, 141, 36, 181, 54, 2183, 404, 16.96223, 10.17527
2701, 141, 36, 179, 56, 2173, 414, 1.096061, 0.9088032
2751, 138, 39, 176, 59, 2165, 422, 1.0962, 0.911638
2801, 136, 41, 171, 64, 2157, 430, 13.82954, 6.142713
2851, 136, 41, 170, 65, 2149, 438, 1.096516, 0.9168301
2901, 136, 41, 169, 66, 2140, 447, 13.8956, 6.206498
2951, 134, 43, 169, 66, 2128, 459, 1.098547, 0.9156352
3001, 134, 43, 169, 66, 2116, 471, 1.099776, 0.9147739
3051, 133, 44, 169, 66, 2107, 480, 1.100952, 0.9130819
3101, 133, 44, 169, 66, 2101, 486, 1.10155, 0.9128143
3151, 133, 44, 168, 67, 2094, 493, 1.101831, 0.9143014
3201, 131, 46, 166, 69, 2085, 502, 1.102359, 0.9154719
3251, 130, 47, 165, 70, 2078, 509, 1.102828, 0.9161265
3301, 129, 48, 164, 71, 2069, 518, 1.10368, 0.9159684
3351, 129, 48, 162, 73, 2059, 528, 1.104761, 0.9153051
3401, 128, 49, 162, 73, 2046, 541, 1.106531, 0.9131648
3451, 128, 49, 160, 75, 2036, 551, 1.107419, 0.9133952
3501, 128, 49, 160, 75, 2026, 561, 1.109239, 0.9102803
3551, 128, 49, 160, 75, 2015, 572, 1.111641, 0.9056447
3601, 128, 49, 160, 75, 2007, 580, 1.113041, 0.9036387
3651, 128, 49, 157, 78, 2000, 587, 1.113376, 0.9049969
3701, 127, 50, 156, 79, 1989, 598, 1.11459, 0.9047917
3751, 126, 51, 156, 79, 1982, 605, 1.115113, 0.905506
3801, 125, 52, 156, 79, 1970, 617, 1.116906, 0.903857
3851, 122, 55, 156, 79, 1964, 623, 1.11721, 0.9049526
3901, 122, 55, 155, 80, 1959, 628, 14.12499, 7.107648
3951, 121, 56, 155, 80, 1948, 639, 1.118487, 0.9063737
4001, 119, 58, 154, 81, 1939, 648, 1.119321, 0.9068232
4051, 117, 60, 151, 84, 1929, 658, 1.119608, 0.9092122
4101, 117, 60, 147, 88, 1920, 667, 1.120277, 0.9101258
4151, 117, 60, 144, 91, 1909, 678, 1.121643, 0.9096863
4201, 116, 61, 143, 92, 1896, 691, 1.123543, 0.9084628
4251, 116, 61, 142, 93, 1890, 697, 1.12461, 0.9074193
4301, 116, 61, 142, 93, 1883, 704, 1.125728, 0.90659
4351, 116, 61, 142, 93, 1870, 717, 1.128212, 0.9040837
4401, 115, 62, 142, 93, 1863, 724, 1.128775, 0.9048031
4451, 114, 63, 142, 93, 1851, 736, 1.130081, 0.9051693
4501, 114, 63, 141, 94, 1842, 745, 1.131412, 0.9045974
4551, 114, 63, 141, 94, 1834, 753, 1.133274, 0.9024705
4601, 114, 63, 141, 94, 1827, 760, 1.134422, 0.9018356
4651, 114, 63, 141, 94, 1821, 766, 1.135041, 0.9021869
